MATRICULA,IDADE,ESTADO_CIVIL_ALUNOS,RAZAO_INATIVIDADE,TIPO_ENSINO_MEDIO,ANO_FORMATURA_ENSINO_MEDIO,NOTA,ESTATUS,TERMO,GENERO_MASCULINO,NACIONALIDADE_BRASILEIRA_POR_NATURALIZACAO,NACIONALIDADE_ESTRANGEIRA,TIPO_ADMISSAO_DECISAO_JUDICIAL_ADM,TIPO_ADMISSAO_GRADUADO,TIPO_ADMISSAO_REOPCAO,TIPO_ADMISSAO_SISU,TIPO_ADMISSAO_TRANSFERENCIA,TIPO_ADMISSAO_VESTIBULAR,POLITICA_AFIRMATIVA_BONUS,POLITICA_AFIRMATIVA_L1,POLITICA_AFIRMATIVA_L10,POLITICA_AFIRMATIVA_L13,POLITICA_AFIRMATIVA_L14,POLITICA_AFIRMATIVA_L2,POLITICA_AFIRMATIVA_L5,POLITICA_AFIRMATIVA_L6,POLITICA_AFIRMATIVA_L9
119110534,24,3,2,4,2018.0,10.0,0,2021.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
115210797,26,3,0,1,2014.0,7.8,0,2016.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120210547,27,3,5,4,2014.0,-1.0,0,2020.2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
115111825,34,3,5,3,2007.0,-1.0,6,2017.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108210207,36,3,7,0,2011.0,3.6,5,2012.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109110030,42,3,7,0,2011.0,7.0,0,2009.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
112210478,30,3,0,3,2011.0,-1.0,1,2012.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119110859,22,3,2,3,2018.0,10.0,0,2020.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120111796,27,3,0,1,2017.0,8.7,0,2020.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119111162,24,3,2,4,2018.0,10.0,0,2020.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
121210132,28,3,0,3,2014.0,8.6,0,2021.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116211227,29,3,0,3,2011.0,1.5,5,2016.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115110155,29,3,5,4,2014.0,-1.0,4,2016.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
113111803,31,3,5,4,2010.0,0.3,5,2013.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
113110887,29,3,7,3,2012.0,5.0,0,2014.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
114110444,31,3,7,4,2010.0,8.5,0,2014.1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
115210651,28,3,5,4,2013.0,8.1,0,2015.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
113210607,30,3,5,3,2011.0,-1.0,0,2013.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119110859,22,3,2,3,2018.0,10.0,0,2019.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111110112,33,3,0,0,2011.0,7.2,0,2011.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118210111,25,3,2,3,2017.0,10.0,0,2020.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115111882,30,3,0,4,2010.0,1.3,5,2015.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
113210608,30,3,7,3,2011.0,9.0,0,2015.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
117210386,25,3,5,3,2016.0,0.6,5,2018.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110210394,32,3,7,0,2011.0,2.1,5,2012.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115110500,36,3,0,3,2005.0,-1.0,4,2015.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111110120,31,3,0,0,2011.0,7.5,0,2011.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
113210137,30,3,0,3,2012.0,2.8,5,2014.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
122210601,20,3,5,4,2022.0,0.9,5,2023.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
110210060,33,3,7,0,2011.0,7.8,0,2012.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115210757,30,3,5,3,2011.0,1.8,5,2017.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
